Description	
Number of Runs	150
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	840
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	840	8	5	04/27/26 12:37:38 PM	
2	840	3	5	04/27/26 12:37:43 PM	
3	840	11	5	04/27/26 12:37:49 PM	
4	840	7	5	04/27/26 12:37:54 PM	
5	840	8	5	04/27/26 12:37:59 PM	
6	840	6	5	04/27/26 12:38:04 PM	
7	840	12	5	04/27/26 12:38:09 PM	
8	840	4	5	04/27/26 12:38:15 PM	
9	840	11	5	04/27/26 12:38:20 PM	
10	840	2	5	04/27/26 12:38:25 PM	
11	840	5	5	04/27/26 12:38:30 PM	
12	840	6	5	04/27/26 12:38:35 PM	
13	840	5	5	04/27/26 12:38:41 PM	
14	840	2	5	04/27/26 12:38:46 PM	
15	840	10	5	04/27/26 12:38:51 PM	
16	840	3	5	04/27/26 12:38:56 PM	
17	840	1	5	04/27/26 12:39:01 PM	
18	840	6	5	04/27/26 12:39:07 PM	
19	840	6	5	04/27/26 12:39:12 PM	
20	840	6	5	04/27/26 12:39:17 PM	
21	840	9	5	04/27/26 12:39:22 PM	
22	840	7	5	04/27/26 12:39:27 PM	
23	840	5	5	04/27/26 12:39:32 PM	
24	840	8	5	04/27/26 12:39:38 PM	
25	840	8	5	04/27/26 12:39:43 PM	
26	840	7	5	04/27/26 12:39:48 PM	
27	840	5	5	04/27/26 12:39:53 PM	
28	840	8	5	04/27/26 12:39:58 PM	
29	840	6	5	04/27/26 12:40:04 PM	
30	840	11	5	04/27/26 12:40:09 PM	
31	840	7	5	04/27/26 12:40:14 PM	
32	840	6	5	04/27/26 12:40:19 PM	
33	840	6	5	04/27/26 12:40:25 PM	
34	840	8	5	04/27/26 12:40:30 PM	
35	840	7	5	04/27/26 12:40:35 PM	
36	840	9	5	04/27/26 12:40:40 PM	
37	840	3	5	04/27/26 12:40:45 PM	
38	840	7	5	04/27/26 12:40:51 PM	
39	840	4	5	04/27/26 12:40:56 PM	
40	840	5	5	04/27/26 12:41:01 PM	
41	840	6	5	04/27/26 12:41:06 PM	
42	840	8	5	04/27/26 12:41:11 PM	
43	840	8	5	04/27/26 12:41:16 PM	
44	840	7	5	04/27/26 12:41:22 PM	
45	840	6	5	04/27/26 12:41:27 PM	
46	840	8	5	04/27/26 12:41:32 PM	
47	840	6	5	04/27/26 12:41:37 PM	
48	840	4	5	04/27/26 12:41:42 PM	
49	840	5	5	04/27/26 12:41:48 PM	
50	840	7	5	04/27/26 12:41:53 PM	
51	840	5	5	04/27/26 12:41:58 PM	
52	840	6	5	04/27/26 12:42:03 PM	
53	840	4	5	04/27/26 12:42:08 PM	
54	840	10	5	04/27/26 12:42:14 PM	
55	840	7	5	04/27/26 12:42:19 PM	
56	840	6	5	04/27/26 12:42:24 PM	
57	840	11	5	04/27/26 12:42:29 PM	
58	840	8	5	04/27/26 12:42:34 PM	
59	840	3	5	04/27/26 12:42:40 PM	
60	840	4	5	04/27/26 12:42:45 PM	
61	840	9	5	04/27/26 12:42:50 PM	
62	840	7	5	04/27/26 12:42:55 PM	
63	840	5	5	04/27/26 12:43:00 PM	
64	840	3	5	04/27/26 12:43:06 PM	
65	840	7	5	04/27/26 12:43:11 PM	
66	840	7	5	04/27/26 12:43:16 PM	
67	840	5	5	04/27/26 12:43:21 PM	
68	840	6	5	04/27/26 12:43:26 PM	
69	840	5	5	04/27/26 12:43:32 PM	
70	840	4	5	04/27/26 12:43:37 PM	
71	840	8	5	04/27/26 12:43:42 PM	
72	840	8	5	04/27/26 12:43:47 PM	
73	840	6	5	04/27/26 12:43:53 PM	
74	840	2	5	04/27/26 12:43:58 PM	
75	840	8	5	04/27/26 12:44:03 PM	
76	840	7	5	04/27/26 12:44:08 PM	
77	840	13	5	04/27/26 12:44:14 PM	
78	840	5	5	04/27/26 12:44:19 PM	
79	840	6	5	04/27/26 12:44:24 PM	
80	840	5	5	04/27/26 12:44:29 PM	
81	840	8	5	04/27/26 12:44:34 PM	
82	840	4	5	04/27/26 12:44:39 PM	
83	840	8	5	04/27/26 12:44:45 PM	
84	840	7	5	04/27/26 12:44:50 PM	
85	840	6	5	04/27/26 12:44:55 PM	
86	840	4	5	04/27/26 12:45:00 PM	
87	840	6	5	04/27/26 12:45:05 PM	
88	840	13	5	04/27/26 12:45:10 PM	
89	840	7	5	04/27/26 12:45:15 PM	
90	840	11	5	04/27/26 12:45:21 PM	
91	840	6	5	04/27/26 12:45:26 PM	
92	840	7	5	04/27/26 12:45:31 PM	
93	840	2	5	04/27/26 12:45:36 PM	
94	840	5	5	04/27/26 12:45:41 PM	
95	840	6	5	04/27/26 12:45:47 PM	
96	840	7	5	04/27/26 12:45:52 PM	
97	840	1	5	04/27/26 12:45:57 PM	
98	840	10	5	04/27/26 12:46:02 PM	
99	840	7	5	04/27/26 12:46:07 PM	
100	840	6	5	04/27/26 12:46:12 PM	
101	840	5	5	04/27/26 12:46:18 PM	
102	840	9	5	04/27/26 12:46:23 PM	
103	840	6	5	04/27/26 12:46:28 PM	
104	840	9	5	04/27/26 12:46:33 PM	
105	840	4	5	04/27/26 12:46:39 PM	
106	840	6	5	04/27/26 12:46:44 PM	
107	840	5	5	04/27/26 12:46:49 PM	
108	840	4	5	04/27/26 12:46:54 PM	
109	840	9	5	04/27/26 12:46:59 PM	
110	840	4	5	04/27/26 12:47:04 PM	
111	840	3	5	04/27/26 12:47:10 PM	
112	840	8	5	04/27/26 12:47:15 PM	
113	840	10	5	04/27/26 12:47:20 PM	
114	840	5	5	04/27/26 12:47:25 PM	
115	840	4	5	04/27/26 12:47:30 PM	
116	840	2	5	04/27/26 12:47:36 PM	
117	840	7	5	04/27/26 12:47:41 PM	
118	840	2	5	04/27/26 12:47:46 PM	
119	840	7	5	04/27/26 12:47:51 PM	
120	840	3	5	04/27/26 12:47:56 PM	
121	840	9	5	04/27/26 12:48:02 PM	
122	840	3	5	04/27/26 12:48:07 PM	
123	840	9	5	04/27/26 12:48:12 PM	
124	840	8	5	04/27/26 12:48:17 PM	
125	840	4	5	04/27/26 12:48:22 PM	
126	840	7	5	04/27/26 12:48:28 PM	
127	840	4	5	04/27/26 12:48:33 PM	
128	840	11	5	04/27/26 12:48:38 PM	
129	840	6	5	04/27/26 12:48:43 PM	
130	840	7	5	04/27/26 12:48:48 PM	
131	840	9	5	04/27/26 12:48:54 PM	
132	840	5	5	04/27/26 12:48:59 PM	
133	840	2	5	04/27/26 12:49:04 PM	
134	840	5	5	04/27/26 12:49:09 PM	
135	840	3	5	04/27/26 12:49:15 PM	
136	840	8	5	04/27/26 12:49:20 PM	
137	840	4	5	04/27/26 12:49:25 PM	
138	840	4	5	04/27/26 12:49:30 PM	
139	840	6	5	04/27/26 12:49:35 PM	
140	840	7	5	04/27/26 12:49:40 PM	
141	840	6	5	04/27/26 12:49:45 PM	
142	840	5	5	04/27/26 12:49:51 PM	
143	840	3	5	04/27/26 12:49:56 PM	
144	840	13	5	04/27/26 12:50:01 PM	
145	840	8	5	04/27/26 12:50:06 PM	
146	840	5	5	04/27/26 12:50:11 PM	
147	840	6	5	04/27/26 12:50:17 PM	
148	840	5	5	04/27/26 12:50:22 PM	
149	840	4	5	04/27/26 12:50:27 PM	
150	840	4	5	04/27/26 12:50:32 PM	
