Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	840
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	840	31	1	04/27/26 12:53:22 PM	
2	840	22	1	04/27/26 12:53:23 PM	
3	840	31	1	04/27/26 12:53:24 PM	
4	840	23	1	04/27/26 12:53:26 PM	
5	840	24	1	04/27/26 12:53:27 PM	
6	840	24	1	04/27/26 12:53:28 PM	
7	840	31	1	04/27/26 12:53:29 PM	
8	840	24	1	04/27/26 12:53:30 PM	
9	840	24	1	04/27/26 12:53:32 PM	
10	840	25	1	04/27/26 12:53:33 PM	
11	840	31	1	04/27/26 12:53:34 PM	
12	840	22	1	04/27/26 12:53:35 PM	
13	840	23	1	04/27/26 12:53:36 PM	
14	840	26	1	04/27/26 12:53:38 PM	
15	840	22	1	04/27/26 12:53:39 PM	
16	840	25	1	04/27/26 12:53:40 PM	
17	840	28	1	04/27/26 12:53:41 PM	
18	840	26	1	04/27/26 12:53:43 PM	
19	840	30	1	04/27/26 12:53:44 PM	
20	840	28	1	04/27/26 12:53:45 PM	
21	840	25	1	04/27/26 12:53:46 PM	
22	840	22	1	04/27/26 12:53:47 PM	
23	840	24	1	04/27/26 12:53:49 PM	
24	840	19	1	04/27/26 12:53:50 PM	
25	840	20	1	04/27/26 12:53:51 PM	
26	840	29	1	04/27/26 12:53:52 PM	
27	840	35	1	04/27/26 12:53:53 PM	
28	840	23	1	04/27/26 12:53:55 PM	
29	840	22	1	04/27/26 12:53:56 PM	
30	840	25	1	04/27/26 12:53:57 PM	
31	840	28	1	04/27/26 12:53:58 PM	
32	840	30	1	04/27/26 12:53:59 PM	
33	840	22	1	04/27/26 12:54:01 PM	
34	840	21	1	04/27/26 12:54:02 PM	
35	840	35	1	04/27/26 12:54:03 PM	
36	840	24	1	04/27/26 12:54:04 PM	
37	840	16	1	04/27/26 12:54:05 PM	
38	840	31	1	04/27/26 12:54:07 PM	
39	840	25	1	04/27/26 12:54:08 PM	
40	840	29	1	04/27/26 12:54:09 PM	
41	840	23	1	04/27/26 12:54:10 PM	
42	840	24	1	04/27/26 12:54:11 PM	
43	840	25	1	04/27/26 12:54:13 PM	
44	840	31	1	04/27/26 12:54:14 PM	
45	840	31	1	04/27/26 12:54:15 PM	
46	840	25	1	04/27/26 12:54:16 PM	
47	840	32	1	04/27/26 12:54:17 PM	
48	840	17	1	04/27/26 12:54:19 PM	
49	840	31	1	04/27/26 12:54:20 PM	
50	840	24	1	04/27/26 12:54:21 PM	
51	840	27	1	04/27/26 12:54:22 PM	
52	840	15	1	04/27/26 12:54:24 PM	
53	840	24	1	04/27/26 12:54:25 PM	
54	840	29	1	04/27/26 12:54:26 PM	
55	840	27	1	04/27/26 12:54:27 PM	
56	840	24	1	04/27/26 12:54:28 PM	
57	840	22	1	04/27/26 12:54:30 PM	
58	840	17	1	04/27/26 12:54:31 PM	
59	840	21	1	04/27/26 12:54:32 PM	
60	840	18	1	04/27/26 12:54:33 PM	
61	840	32	1	04/27/26 12:54:34 PM	
62	840	17	1	04/27/26 12:54:36 PM	
63	840	20	1	04/27/26 12:54:37 PM	
64	840	22	1	04/27/26 12:54:38 PM	
65	840	29	1	04/27/26 12:54:39 PM	
66	840	27	1	04/27/26 12:54:40 PM	
67	840	18	1	04/27/26 12:54:42 PM	
68	840	19	1	04/27/26 12:54:43 PM	
69	840	21	1	04/27/26 12:54:44 PM	
70	840	23	1	04/27/26 12:54:45 PM	
71	840	23	1	04/27/26 12:54:46 PM	
72	840	16	1	04/27/26 12:54:48 PM	
73	840	25	1	04/27/26 12:54:49 PM	
74	840	23	1	04/27/26 12:54:50 PM	
75	840	29	1	04/27/26 12:54:51 PM	
76	840	21	1	04/27/26 12:54:52 PM	
77	840	14	1	04/27/26 12:54:54 PM	
78	840	28	1	04/27/26 12:54:55 PM	
79	840	19	1	04/27/26 12:54:56 PM	
80	840	34	1	04/27/26 12:54:57 PM	
81	840	22	1	04/27/26 12:54:58 PM	
82	840	23	1	04/27/26 12:54:59 PM	
83	840	17	1	04/27/26 12:55:01 PM	
84	840	33	1	04/27/26 12:55:02 PM	
85	840	16	1	04/27/26 12:55:03 PM	
86	840	26	1	04/27/26 12:55:04 PM	
87	840	24	1	04/27/26 12:55:05 PM	
88	840	22	1	04/27/26 12:55:07 PM	
89	840	27	1	04/27/26 12:55:08 PM	
90	840	30	1	04/27/26 12:55:09 PM	
91	840	24	1	04/27/26 12:55:10 PM	
92	840	30	1	04/27/26 12:55:11 PM	
93	840	21	1	04/27/26 12:55:13 PM	
94	840	20	1	04/27/26 12:55:14 PM	
95	840	24	1	04/27/26 12:55:15 PM	
96	840	19	1	04/27/26 12:55:16 PM	
97	840	30	1	04/27/26 12:55:17 PM	
98	840	31	1	04/27/26 12:55:19 PM	
99	840	16	1	04/27/26 12:55:20 PM	
100	840	34	1	04/27/26 12:55:21 PM	
101	840	24	1	04/27/26 12:55:22 PM	
102	840	21	1	04/27/26 12:55:23 PM	
103	840	22	1	04/27/26 12:55:25 PM	
104	840	25	1	04/27/26 12:55:26 PM	
105	840	21	1	04/27/26 12:55:27 PM	
106	840	31	1	04/27/26 12:55:28 PM	
107	840	25	1	04/27/26 12:55:29 PM	
108	840	23	1	04/27/26 12:55:31 PM	
109	840	31	1	04/27/26 12:55:32 PM	
110	840	19	1	04/27/26 12:55:33 PM	
111	840	25	1	04/27/26 12:55:34 PM	
112	840	27	1	04/27/26 12:55:35 PM	
113	840	24	1	04/27/26 12:55:37 PM	
114	840	24	1	04/27/26 12:55:38 PM	
115	840	30	1	04/27/26 12:55:39 PM	
116	840	34	1	04/27/26 12:55:40 PM	
117	840	16	1	04/27/26 12:55:41 PM	
118	840	18	1	04/27/26 12:55:43 PM	
119	840	24	1	04/27/26 12:55:44 PM	
120	840	16	1	04/27/26 12:55:45 PM	
121	840	29	1	04/27/26 12:55:46 PM	
122	840	33	1	04/27/26 12:55:47 PM	
123	840	27	1	04/27/26 12:55:49 PM	
124	840	20	1	04/27/26 12:55:50 PM	
125	840	22	1	04/27/26 12:55:51 PM	
126	840	31	1	04/27/26 12:55:52 PM	
127	840	24	1	04/27/26 12:55:53 PM	
128	840	27	1	04/27/26 12:55:55 PM	
129	840	30	1	04/27/26 12:55:56 PM	
130	840	28	1	04/27/26 12:55:57 PM	
131	840	18	1	04/27/26 12:55:58 PM	
132	840	27	1	04/27/26 12:55:59 PM	
133	840	25	1	04/27/26 12:56:01 PM	
134	840	18	1	04/27/26 12:56:02 PM	
135	840	23	1	04/27/26 12:56:03 PM	
136	840	36	1	04/27/26 12:56:04 PM	
137	840	27	1	04/27/26 12:56:05 PM	
138	840	33	1	04/27/26 12:56:07 PM	
139	840	27	1	04/27/26 12:56:08 PM	
140	840	31	1	04/27/26 12:56:09 PM	
141	840	28	1	04/27/26 12:56:10 PM	
142	840	27	1	04/27/26 12:56:11 PM	
143	840	25	1	04/27/26 12:56:13 PM	
144	840	26	1	04/27/26 12:56:14 PM	
145	840	21	1	04/27/26 12:56:15 PM	
146	840	25	1	04/27/26 12:56:16 PM	
