Description	
Number of Runs	26
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	700
Step Voltage	20
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	700	0	30	04/27/26 12:14:16 PM	
2	720	0	30	04/27/26 12:14:47 PM	
3	740	667	30	04/27/26 12:15:17 PM	
4	760	696	30	04/27/26 12:15:47 PM	
5	780	763	30	04/27/26 12:16:18 PM	
6	800	729	30	04/27/26 12:16:48 PM	
7	820	745	30	04/27/26 12:17:19 PM	
8	840	745	30	04/27/26 12:17:49 PM	
9	860	770	30	04/27/26 12:18:19 PM	
10	880	739	30	04/27/26 12:18:50 PM	
11	900	796	30	04/27/26 12:19:20 PM	
12	920	754	30	04/27/26 12:19:51 PM	
13	940	783	30	04/27/26 12:20:21 PM	
14	960	806	30	04/27/26 12:20:52 PM	
15	980	827	30	04/27/26 12:21:22 PM	
16	1000	813	30	04/27/26 12:21:52 PM	
17	1020	831	30	04/27/26 12:22:23 PM	
18	1040	829	30	04/27/26 12:22:53 PM	
19	1060	840	30	04/27/26 12:23:24 PM	
20	1080	855	30	04/27/26 12:23:54 PM	
21	1100	859	30	04/27/26 12:24:24 PM	
22	1120	860	30	04/27/26 12:24:55 PM	
23	1140	870	30	04/27/26 12:25:25 PM	
24	1160	904	30	04/27/26 12:25:55 PM	
25	1180	895	30	04/27/26 12:26:26 PM	
26	1200	917	30	04/27/26 12:26:56 PM	
