Description	
Number of Runs	30
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	840
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	840	3122	30	04/27/26 01:18:15 PM	
2	840	2823	30	04/27/26 01:18:45 PM	
3	840	2456	30	04/27/26 01:19:16 PM	
4	840	2187	30	04/27/26 01:19:46 PM	
5	840	1863	30	04/27/26 01:20:16 PM	
6	840	1704	30	04/27/26 01:20:47 PM	
7	840	1486	30	04/27/26 01:21:17 PM	
8	840	1250	30	04/27/26 01:21:48 PM	
9	840	1180	30	04/27/26 01:22:18 PM	
10	840	1028	30	04/27/26 01:22:49 PM	
11	840	902	30	04/27/26 01:23:19 PM	
12	840	792	30	04/27/26 01:23:49 PM	
13	840	648	30	04/27/26 01:24:20 PM	
14	840	639	30	04/27/26 01:24:50 PM	
15	840	550	30	04/27/26 01:25:20 PM	
16	840	484	30	04/27/26 01:25:51 PM	
17	840	395	30	04/27/26 01:26:21 PM	
18	840	367	30	04/27/26 01:26:51 PM	
19	840	377	30	04/27/26 01:27:22 PM	
20	840	318	30	04/27/26 01:27:52 PM	
21	840	246	30	04/27/26 01:28:23 PM	
22	840	212	30	04/27/26 01:28:53 PM	
23	840	187	30	04/27/26 01:29:23 PM	
24	840	187	30	04/27/26 01:29:54 PM	
25	840	173	30	04/27/26 01:30:24 PM	
26	840	162	30	04/27/26 01:30:54 PM	
27	840	132	30	04/27/26 01:31:25 PM	
28	840	106	30	04/27/26 01:31:55 PM	
29	840	107	30	04/27/26 01:32:25 PM	
30	840	97	30	04/27/26 01:32:56 PM	
